"isrc";"artist_id";"streams";"weeks_in_charts";"n_regions";"danceability";"energy";"speechiness";"instrumentalness";"liveness";"valence";"tempo";"song_length";"song_age";"explicit";"n_playlists";"sp_popularity";"youtube_views";"tiktok_counts";"ins_followers_artist";"monthly_listeners_artist";"playlist_total_reach_artist";"sp_fans_artist";"shazam_counts";"artistName";"trackName";"release_date";"genre";"label";"top10";"expert_rating"
"BRRGE1603547";3679;11944813;141;1;50,9;80,3;4;0,05;46,3;65,1;166,018;3,11865;228,285714285714;0;450;51;145030723;9740;29613108;4133393;24286416;3308630;73100;"Luan Santana";"Eu, Você, O Mar e Ela";"2016-06-20";"other";"Independent";1;"excellent"
"USUM71808193";5239;8934097;51;21;35,3;75,5;73,3;0;39;43,7;191,153;3,228;144,285714285714;0;768;54;13188411;358700;3693566;18367363;143384531;465412;588550;"Alessia Cara";"Growing Pains";"2018-06-14";"Pop";"Universal Music";0;"good"
"ES5701800181";776407;38835;1;1;68,3;67,6;14,7;0;7,26;43,4;98,992;3,01555;112,285714285714;0;48;32;6116639;0;623778;888273;4846378;23846;0;"Ana Guerra";"El Remedio";"2018-04-26";"Pop";"Universal Music";0;"good"
"ITRSE2000050";433730;46766;1;1;70,4;56,8;26,8;0,000253;8,91;49,5;91,007;3,45341666666667;50,7142857142857;0;6;44;0;13;81601;143761;156521;1294;0;"Claver Gold feat. Murubutu";"Ulisse";"2020-03-31";"HipHop/Rap";"Independent";0;"poor"
"QZJ842000061";526471;2930573;7;4;84,2;57,8;13,8;0;22,8;19;74,496;3,94631666666667;58,2857142857143;0;475;52;0;515;11962358;15551876;90841884;380204;55482;"Trippie Redd feat. Young Thug";"YELL OH";"2020-02-07";"HipHop/Rap";"Universal Music";0;"excellent"
"USIR20400274";1939;72199738;226;8;35,2;91,1;7,47;0;9,95;23,6;148,033;3,71621666666667;876,714285714286;0;20591;81;20216069;67300;1169284;16224250;80408253;1651866;5281161;"The Killers";"Mr. Brightside";"2004-06-07";"Rock";"Universal Music";1;"fair"
"ITUM72000284";210184;1041694;13;1;73;69,6;35,5;0;32,1;58,4;172,04;3,06976666666667;38,4285714285714;0;6;44;0;0;1948850;2683086;7332603;214001;0;"Guè Pequeno";"Mercy On Me (In Sbatti)";"2020-06-25";"HipHop/Rap";"Universal Music";0;"poor"
"SEYQH1300908";212546;44363;1;1;55,6;24,5;3,05;0;9,21;27,6;104,81;3,94533333333333;363,714285714286;0;105;8;0;0;39381;1318874;24302331;10742;0;"Agnes";"Hanna från Arlöv";"2013-01-01";"Pop";"Independent";0;"good"
"KRA301800535";4938;2328350;64;5;71,9;85;3,17;0,02;11,4;36,7;150,059;3,14643333333333;120,571428571429;1;547;59;0;653;9751080;4828847;8914977;435457;39055;"Red Velvet";"RBB (Really Bad Boy)";"2018-11-30";"Pop";"Independent";0;"good"
"BREMI0501111";119985;335206;7;1;34,6;43,3;6,5;0;10,1;76,8;77,963;2,42445;846,142857142857;0;688;68;16595398;3807;343;3088232;8885252;1897685;0;"Charlie Brown Jr.";"Dias De Luta, Dias De Gloria";"2005-01-01";"Pop";"Universal Music";0;"excellent"
"NLG661800233";654613;361668;12;1;82;51,8;33,8;0;8,91;74,6;75,987;2,44736666666667;162,285714285714;0;23;24;0;0;193680;165787;323284;2339;0;"Jacin Trill feat. Bokoesam";"Gouden Koets";"2018-02-09";"HipHop/Rap";"Universal Music";0;"excellent"
"USUM71510716";4904;283424;8;7;61,9;76,2;6,92;0;12,2;32,4;122,916;3,64578333333333;244,285714285714;0;8388;25;288539258;4616;13583019;13582562;90921616;305337;2431018;"Hailee Steinfeld";"Love Myself";"2015-08-07";"Pop";"Universal Music";0;"excellent"
"USUG10700436";120819;72598;5;1;77,1;76,9;10,5;0,01;8,04;59,8;88,001;5,06133333333333;741,857142857143;0;809;68;84146091;677;4781602;3466005;41531562;397587;184336;"Zion";"Zun Da Da";"2007-06-18";"R&B";"Universal Music";0;"good"
"USUM71822243";198575;4552;1;1;44,2;46,3;24,7;0;25,6;22,9;87,213;2,93688333333333;117,285714285714;0;238;47;0;0;2251755;27499292;176690983;226576;12102;"6LACK";"Been A While";"2018-12-21";"R&B";"Universal Music";0;"good"
"NLG662100081";5485;33155;1;1;70,7;52,3;22,8;0;25,2;60,5;103,515;2,67768333333333;3,42857142857143;0;6;52;0;1;210406;1286118;4932935;253746;404;"Broederliefde";"Straat";"2021-02-25";"HipHop/Rap";"Universal Music";0;"fair"
"BRWRT1700060";5006;777498;17;1;59,8;95;10;0;66,4;64,2;174,057;2,98333333333333;191,285714285714;0;86;47;0;278;32429534;8399039;53574055;2867245;20281;"Wesley Safadão";"Laranjinha - Ao Vivo";"2017-07-21";"other";"Independent";0;"good"
"PHU010710025";206791;1479905;65;1;33,5;57,1;2,43;0;13,7;45,4;93,572;5,65088333333333;720,285714285714;0;152;61;18963993;2955;128438;1154331;7361179;76504;5875;"Silent Sanctuary";"Kundiman";"2009-12-21";"Pop";"Independent";0;"fair"
"ES6081942801";1999;73419;2;1;79,2;76,4;25,4;0;9,56;53,1;134,996;3,41851666666667;66,2857142857143;0;81;57;11224714;448;259098;770508;1249496;56494;9167;"SFDK";"Un Pobre Con Dinero";"2019-12-12";"Pop";"Independent";0;"masterpiece"
"NO9MC1802010";126003;400161;26;1;62,9;69,9;3,67;0;6,94;42,6;114,067;3,11928333333333;149,285714285714;0;27;17;0;0;104649;40773;344545;5168;0;"The Main Level";"All Over";"2018-03-08";"Pop";"Independent";0;"good"
"ATR211823101";217550;159932;22;1;76,1;95,6;2,83;0;31,6;97,3;133,989;3,07123333333333;138,285714285714;0;0;0;0;0;0;68373;347385;778;0;"POWERKRYNER";"Bin Blau (Da Ba Dee)";"2018-07-27";"Pop";"Independent";0;"fair"
"TWA471603010";214095;29771;10;1;54,8;37,3;3,01;0,000289;10,7;24,7;114,819;4,58266666666667;251,285714285714;0;19;31;0;0;55474;512003;1956019;51;4459;"Eve Ai";"愛是這樣";"2016-05-27";"Pop";"Sony Music";0;"poor"
"DEA621801609";2777;103510;1;2;56;73,4;6,35;0,01;17;19,1;76,042;3,05666666666667;119,285714285714;0;24;35;267819;0;0;1348310;3430707;976815;0;"Kollegah";"La Vida Koka";"2018-12-07";"HipHop/Rap";"Warner Music";0;"excellent"
"USAT21801430";200408;15986514;35;6;62;62,5;55,3;0;31,4;66,5;167,911;4,7476;154,285714285714;0;1228;59;0;1315;86023658;41468551;349551813;1329498;263527;"Cardi B feat. Chance the Rapper";"Best Life (feat. Chance The Rapper)";"2018-04-06";"HipHop/Rap";"Warner Music";1;"good"
"SE6I31957653";1652871;10351676;173;1;79,1;43,9;17;0;22,5;53,2;131,963;3,18181666666667;75,2857142857143;0;223;26;0;0;0;291695;981961;216;6173;"Einár feat. Dizzy";"Härifrån";"2019-10-10";"Pop";"Independent";0;"excellent"
